  Prov. Des.    q       Q       H     Epoch      M     Peri. Node   Incl.  e      a
  2015 VX164  26.306  51.802   10.1   20190427    4.4  183.0 230.2  16.9 0.326  39.054
  2015 VW172  42.232  46.099    8.1   20190427  214.0  104.3  97.6   1.5 0.044  44.165
  2015 VW171  42.677  43.453    8.3   20190427  132.3  135.2 146.2   2.4 0.009  43.065
  2015 VW170  43.683  47.427    7.7   20190427   85.4   92.9 232.0   1.0 0.041  45.555
  2015 VW169  36.817  53.266    7.2   20190427  247.8  314.3 232.4  18.0 0.183  45.042
  2015 VW168  40.590  44.404    8.1   20190427  113.8  197.6  96.7   2.0 0.045  42.497
  2015 VW166  39.538  47.353    9.0   20190427  290.3   75.6  59.2   1.5 0.090  43.446
  2015 VW164  33.073  45.446    8.1   20190427   40.8  165.6 197.7   1.4 0.158  39.259
  2015 VV172  35.444  49.320    7.4   20190427  278.2  288.3 226.1  20.1 0.164  42.382
  2015 VV171  37.964  53.320    9.0   20190427  322.0  286.2 181.7   2.7 0.168  45.642
  2015 VV170  41.702  44.348    8.8   20190427   94.7  286.3  30.9   0.9 0.031  43.025
  2015 VV169  39.191  46.431    7.7   20190427  168.6  181.1  65.5   3.0 0.085  42.811
  2015 VV168  42.709  47.842    8.8   20190427    3.0  324.0  85.6   2.1 0.057  45.275
  2015 VV167  37.784  50.052    8.7   20190427  342.9   14.6  63.0  12.0 0.140  43.918
  2015 VV166  40.012  46.966    7.9   20190427  223.5   49.3 148.4   2.8 0.080  43.489
  2015 VV164  35.973  42.668    8.6   20190427  342.5   30.5  48.7   1.8 0.085  39.321
  2015 VU172  38.842  39.896    8.4   20190427   16.4  315.0  82.5   1.6 0.013  39.369
  2015 VU171  42.734  44.092    7.5   20190427   19.3  306.1  89.2   2.6 0.016  43.413
  2015 VU170  41.177  43.862    8.9   20190427  256.9  113.0  48.9   1.8 0.032  42.519
  2015 VU169  41.137  43.497    7.6   20190427   76.0  281.4  56.8   1.6 0.028  42.317
  2015 VU168  41.037  47.261    8.0   20190427  278.6  350.8 151.2   1.2 0.070  44.149
  2015 VU167  38.185  53.884    7.0   20190427   11.2  174.3 225.3   5.0 0.171  46.034
  2015 VU166  39.504  47.542    7.8   20190427  187.7  152.8  76.5   3.6 0.092  43.523
  2015 VU165  32.966  45.098    9.1   20190427  335.5    9.2  80.4   5.1 0.155  39.032
  2015 VU164  33.860  44.961    7.6   20190427   84.4   84.9 231.8  37.6 0.141  39.410
  2015 VT173  41.761  44.263    9.1   20190427    0.9  262.4 151.0   3.5 0.029  43.012
  2015 VT172  42.494  45.762    8.7   20190427  305.9  250.5 222.0   1.0 0.037  44.128
  2015 VT171  41.146  45.157    8.7   20190427   54.0  184.7 172.1   2.4 0.046  43.152
  2015 VT170  41.948  44.540    8.0   20190427  129.7   33.2 249.7   1.2 0.030  43.244
  2015 VT169  40.491  46.682    8.5   20190427   12.0  325.8  78.1   1.3 0.071  43.586
  2015 VT168  43.685  46.482    6.6   20190427    5.0  184.5 223.6   1.2 0.031  45.084
  2015 VT167  40.742  59.468    8.8   20190427   16.1  309.9  81.7   6.2 0.187  50.105
  2015 VT166  34.772  52.164    8.0   20190427  299.1   72.6  67.0   8.3 0.200  43.468
  2015 VT165  28.355  49.942   10.0   20190427   22.0  164.6 214.7  13.6 0.276  39.149
  2015 VT164  28.904  49.364    9.3   20190427   59.9  252.6  76.5   7.0 0.261  39.134
  2015 VS173  39.239  51.592    8.5   20190427   90.2   95.9 212.1  11.8 0.136  45.415
  2015 VS172  43.595  48.525    7.5   20190427  144.4   85.3 180.9   0.6 0.054  46.060
  2015 VS171  40.476  47.451    8.4   20190427   97.6  225.7  82.4   3.0 0.079  43.964
  2015 VS170  40.438  42.089    8.5   20190427   56.9  306.6  50.3  18.2 0.020  41.264
  2015 VS169  41.359  45.021    8.7   20190427   90.1  247.8  74.3   1.4 0.042  43.190
  2015 VS168  38.199  55.104    7.1   20190427  229.6  134.9  61.0   3.5 0.181  46.652
  2015 VS167  39.088 120.422    9.0   20190427    4.2  196.6 204.8   7.1 0.510  79.755
  2015 VS166  37.519  49.496    7.5   20190427  136.4  196.6  69.7   2.7 0.138  43.507
  2015 VS165  31.980  46.683    9.2   20190427   86.7  186.0 120.3   3.1 0.187  39.332
  2015 VS164  33.336  45.229    8.6   20201217  328.0  236.9 228.7  20.7 0.151  39.283
  2015 VR173  41.979  44.791    8.7   20190427  155.4  159.4  97.0   4.2 0.032  43.385
  2015 VR172  43.712  46.761    6.9   20190427  246.7   90.2  80.7   1.6 0.034  45.236
  2015 VR171  41.909  48.042    8.3   20190427   92.7  104.2 209.7   5.7 0.068  44.975
  2015 VR170  41.278  44.902    8.5   20190427  107.2  250.2  53.1   1.6 0.042  43.090
  2015 VR169  35.722  49.291    8.0   20190427  144.0   29.1 235.1  17.3 0.160  42.506
  2015 VR168  40.905  47.547    7.8   20190427  120.9  205.3  79.3   1.7 0.075  44.226
  2015 VR166  36.264  50.455    8.0   20190427    0.9  186.7 227.2   6.9 0.164  43.360
  2015 VR165  37.569  41.107    8.7   20190427   49.3  300.5  61.0  12.8 0.045  39.338
  2015 VR164  31.164  46.957    8.0   20190427    2.4  317.1 100.1   1.7 0.202  39.061
  2015 VQ202  43.420  44.258    8.59  20210705  329.4   43.1  48.6   2.4 0.010  43.839
  2015 VQ173  40.157  48.839    7.5   20190427    2.0  276.5 135.6   2.8 0.098  44.498
  2015 VQ172  42.110  45.079    7.4   20190427  264.8  104.2  49.2   1.0 0.034  43.594
  2015 VQ171  39.475  50.532    8.2   20190427   70.1  270.9  59.5  13.3 0.123  45.003
  2015 VQ170  36.500  48.109    8.7   20190427  333.2   40.2  51.2  10.6 0.137  42.304
  2015 VQ169  42.076  45.238    7.5   20190427  130.5  240.5  43.8   0.7 0.036  43.657
  2015 VQ168  41.380  45.338    7.8   20190427  222.3   17.6 176.4   0.3 0.046  43.359
  2015 VQ166  41.336  45.628    8.0   20190427   78.7  270.2  58.3   2.0 0.049  43.482
  2015 VQ165  28.198  49.933    8.2   20190427  292.7  290.0 224.4  19.2 0.278  39.066
  2015 VQ164  29.886  48.852    9.8   20190427  358.2    9.3  55.6  15.1 0.241  39.369
  2015 VP173  41.103  46.296    7.8   20190427  202.5  102.4 110.5   3.4 0.059  43.700
  2015 VP172  38.481  51.887    7.4   20190427  125.7   49.9 225.5   3.5 0.148  45.184
  2015 VP171  41.368  44.908    8.4   20190427  312.4   29.6  76.3   3.9 0.041  43.138
  2015 VP170  40.097  51.567    8.1   20190427  307.0   41.1  80.4   5.9 0.125  45.832
  2015 VP169  39.843  45.152    8.2   20190427  143.2  222.5  48.0   3.6 0.062  42.497
  2015 VP168  44.986  45.599    7.9   20190427  193.2  162.3  57.3   2.0 0.007  45.293
  2015 VP167  35.806  45.179    8.5   20190427   37.5  311.5  55.5  21.8 0.116  40.492
  2015 VP165  26.142  52.214    9.3   20190427  317.4  268.9 225.4  15.2 0.333  39.178
  2015 VP164  29.209  48.910    8.9   20190427   44.9  125.8 223.7   5.3 0.252  39.060
  2015 VO202  29.579  49.108    8.80  20210705  101.4  168.4 123.1   3.3 0.248  39.344
  2015 VO173  37.914  51.450    9.0   20190427   42.4  302.1  55.9  20.9 0.151  44.682
  2015 VO172  37.790  48.712    8.4   20190427   90.7   82.7 226.4   8.7 0.126  43.251
  2015 VO171  41.523  46.222    7.7   20190427   50.5  270.8  88.5   2.9 0.054  43.873
  2015 VO170  41.831  45.648    8.0   20190427  141.9  160.8 109.7   2.9 0.044  43.740
  2015 VO169  40.206  50.696    8.1   20190427   56.8  233.6 110.6   3.8 0.115  45.451
  2015 VO165  31.151  47.386    8.6   20190427  324.0   51.0  58.4  10.0 0.207  39.269
  2015 VO164  27.609  51.230    8.7   20200531    3.5  355.9  58.1  14.2 0.300  39.420
  2015 VN173  40.201  44.892    8.3   20190427  187.5  147.0  79.0   5.3 0.055  42.546
  2015 VN172  42.896  47.967    7.4   20190427  139.4  221.7  48.6   2.0 0.056  45.432
  2015 VN171  42.007  45.054    7.8   20190427  186.3  141.5  86.8   2.6 0.035  43.531
  2015 VN170  37.279  45.546    7.9   20190427  325.3  235.7 223.4  16.5 0.100  41.413
  2015 VN169  40.735  43.928    8.3   20190427  116.6  214.6  77.1   6.2 0.038  42.332
